"2016-11-17 12:34:35,944",I,R,Rule,Input size,Input area,Automaton size,Concat before,Estimator,Training sets,Testing sets,Distractor period,R1 successful,R1 wrong bits,R2 successful,R2 wrong bits
"2016-11-17 12:40:22,743",4,4,102,4,40,40,True,LinearRegression,32,32,20,5,44,12,26
"2016-11-17 12:40:24,229",4,4,102,4,40,40,True,LinearRegression,32,32,20,16,16,24,8
"2016-11-17 12:40:25,907",4,4,102,4,40,40,True,LinearRegression,32,32,20,32,0,32,0
"2016-11-17 12:40:27,325",4,4,102,4,40,40,True,LinearRegression,32,32,20,2,55,8,35
"2016-11-17 12:40:28,808",4,4,102,4,40,40,True,LinearRegression,32,32,20,4,59,15,26
"2016-11-17 12:40:30,248",4,4,102,4,40,40,True,LinearRegression,32,32,20,31,1,31,1
"2016-11-17 12:40:31,705",4,4,102,4,40,40,True,LinearRegression,32,32,20,10,33,20,12
"2016-11-17 12:40:33,208",4,4,102,4,40,40,True,LinearRegression,32,32,20,3,56,14,22
"2016-11-17 12:40:34,666",4,4,102,4,40,40,True,LinearRegression,32,32,20,32,0,32,0
"2016-11-17 12:40:36,151",4,4,102,4,40,40,True,LinearRegression,32,32,20,11,27,16,18
"2016-11-17 12:40:37,556",4,4,102,4,40,40,True,LinearRegression,32,32,20,24,8,24,8
"2016-11-17 12:40:39,063",4,4,102,4,40,40,True,LinearRegression,32,32,20,16,31,32,0
"2016-11-17 12:40:40,445",4,4,102,4,40,40,True,LinearRegression,32,32,20,11,26,18,15
"2016-11-17 12:40:41,909",4,4,102,4,40,40,True,LinearRegression,32,32,20,16,16,14,18
"2016-11-17 12:40:43,474",4,4,102,4,40,40,True,LinearRegression,32,32,20,14,18,22,10
"2016-11-17 12:40:44,926",4,4,102,4,40,40,True,LinearRegression,32,32,20,1,64,17,18
"2016-11-17 12:40:46,472",4,4,102,4,40,40,True,LinearRegression,32,32,20,8,34,18,14
"2016-11-17 12:40:47,898",4,4,102,4,40,40,True,LinearRegression,32,32,20,15,20,16,17
"2016-11-17 12:40:49,431",4,4,102,4,40,40,True,LinearRegression,32,32,20,31,1,32,0
"2016-11-17 12:40:50,912",4,4,102,4,40,40,True,LinearRegression,32,32,20,19,13,21,11
"2016-11-17 12:40:52,414",4,4,102,4,40,40,True,LinearRegression,32,32,20,2,33,29,3
