"2016-11-16 01:18:13,385",I,R,Rule,Input size,Input area,Automaton size,Concat before,Training sets,Testing sets,Distractor period,Successful,Soft successful
"2016-11-16 02:41:38,696",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 02:42:49,269",8,8,90,4,40,40,True,32,32,200,3,53
"2016-11-16 02:43:54,239",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 02:45:10,330",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 02:46:28,600",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 02:47:45,491",8,8,90,4,40,40,True,32,32,200,9,37
"2016-11-16 02:48:47,269",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 02:50:02,295",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 02:51:12,896",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 02:52:28,409",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 02:53:32,828",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 02:54:39,006",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 02:55:49,251",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 02:57:04,880",8,8,90,4,40,40,True,32,32,200,27,5
"2016-11-16 02:58:16,493",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 02:59:19,709",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 03:00:31,688",8,8,90,4,40,40,True,32,32,200,31,1
"2016-11-16 03:01:42,087",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 03:02:52,305",8,8,90,4,40,40,True,32,32,200,7,35
"2016-11-16 03:04:00,640",8,8,90,4,40,40,True,32,32,200,32,0
